證券代號","證券名稱","暫停現股賣出後現款買進當沖註記","當日沖銷交易成交股數","當日沖銷交易買進成交金額","當日沖銷交易賣出成交金額",
"3008","大立光","","130,000","289,580,000","289,620,000",
"3010","華立","","31,000","2,859,900","2,870,200",
"3011","今皓","","322,000","4,980,150","4,974,150",
"3013","晟銘電","","1,478,000","180,561,500","181,057,500",
"3014","聯陽","","24,000","3,126,500","3,130,500",
"3015","全漢","","32,000","1,745,100","1,745,100",
"3016","嘉晶","","829,000","45,048,600","45,024,800",
"3017","奇鋐","","2,872,000","3,369,105,000","3,362,725,000",
"3019","亞光","","1,087,000","160,981,000","160,932,500",
"3021","鴻名","","2,000","35,050","35,100",
"3022","威強電","","78,000","5,245,300","5,255,600",
"3023","信邦","","195,000","43,943,000","43,953,000",
"3024","憶聲","","269,000","3,222,750","3,225,250",
"3025","星通","","210,000","9,811,950","9,821,400",
"3026","禾伸堂","","2,099,000","221,130,500","221,301,500",
"3027","盛達","","31,000","745,100","745,500",
"3028","增你強","","23,000","765,850","764,100",
"3029","零壹","","145,000","16,256,500","16,281,500",
"3030","德律","","287,000","43,152,000","43,172,000",
"3031","佰鴻","","98,000","2,075,150","2,069,650",
"3032","偉訓","","177,000","15,959,900","16,052,000",
"3033","威健","","205,000","5,971,900","5,999,100",
"3034","聯詠","","430,000","175,832,500","176,407,000",
"3035","智原","","1,253,000","203,635,500","203,972,000",
"3036","文曄","","2,327,000","309,855,500","310,767,000",
"3037","欣興","","9,728,000","1,584,169,000","1,583,162,500",
"3038","全台","","24,000","485,550","487,550",
"3040","遠見","","69,000","4,405,000","4,412,300",
"3041","揚智","","251,000","7,397,650","7,405,750",
"3042","晶技","","334,000","30,538,800","30,523,800",
"3043","科風","","1,000","22,800","22,700",
"3044","健鼎","","529,000","168,232,000","168,260,000",
"3045","台灣大","","1,244,000","137,957,000","138,301,500",
"3046","建碁","","65,000","3,159,900","3,157,750",
"3047","訊舟","","201,000","3,613,950","3,621,700",
"3048","益登","","487,000","17,315,600","17,327,200",
"3050","鈺德","","136,000","1,670,250","1,674,600",
"3051","力特","","31,000","633,100","633,450",
"3052","夆典","","26,000","285,000","285,700",
"3055","蔚華科","","33,000","1,957,800","1,961,900",
"3056","富華新","","189,000","3,808,500","3,799,600",
"3059","華晶科","","1,104,000","52,513,900","52,598,850",
"3060","銘異","","375,000","8,591,750","8,585,850",
"3062","建漢","","966,000","23,677,100","23,611,200",
"3090","日電貿","","5,854,000","463,931,400","464,713,700",
"3092","鴻碩","","19,000","287,250","287,950",
"3094","聯傑","","25,000","640,300","642,600",
"3130","一零四","","1,000","222,500","222,500",
"3138","耀登","","18,000","1,679,400","1,671,800",
"3149","正達","","3,653,000","139,886,350","139,659,550",
"3164","景岳","","0","0","0",
"3167","大量","","1,046,000","173,499,000","173,741,000",
"3168","眾福科","","2,000","85,600","86,200",
"3189","景碩","","55,805,000","8,417,695,500","8,428,105,000",
"3209","全科","","97,000","3,006,700","3,010,150",
"3231","緯創","","21,311,000","2,906,965,000","2,912,178,500",
"3257","虹冠電","","861,000","61,418,400","61,470,100",
"3266","昇陽","","1,000","13,850","13,650",
"3296","勝德","","131,000","2,879,550","2,874,900",
"3305","昇貿","","1,453,000","148,075,100","147,866,100",
"3308","聯德","","1,000","16,050","16,200",
"3311","閎暉","","1,287,000","47,241,950","47,242,050",
"3312","弘憶股","","197,000","8,133,400","8,138,100",
"3338","泰碩","","26,000","1,471,600","1,476,700",
"3346","麗清","","38,000","823,350","825,100",
"3356","奇偶","","85,000","3,754,250","3,762,200",
"3376","新日興","","1,038,000","226,619,000","227,240,500",
"3380","明泰","","1,180,000","38,813,050","38,916,100",
"3406","玉晶光","","276,000","116,723,500","116,857,000",
"3413","京鼎","","859,000","276,683,500","277,357,000",
"3416","融程電","","30,000","4,975,000","4,975,000",
"3437","榮創","","22,000","339,150","339,700",
"3443","創意","","1,121,000","1,659,310,000","1,664,310,000",
"3447","展達","","113,000","6,581,300","6,606,400",
"3450","聯鈞","","4,485,000","1,140,106,500","1,141,150,500",
"3454","晶睿","","15,000","1,284,900","1,284,500",
"3481","群創","","14,767,000","215,157,700","215,474,700",
"3501","維熹","","36,000","1,857,900","1,862,200",
